Empire moghol,Asie
Dynastie Qing,Asie
Saint-Empire romain germanique,Europe
Japon,Asie
Empire ottoman,Asie
Empire espagnol,Europe
Royaume de France,Europe
Tsarat de Russie,Europe
Dynastie Joseon,Asie
Perse,Asie
Monarchie de Habsbourg,Europe
Angleterre,Europe
Republique des Deux Nations,Europe
Dai Viet,Asie
Empire cherifien,Afrique
Nepal,Asie
Suede,Europe
Siam,Asie
Royaume de Portugal,Europe
Republique de Venise,Europe
Province-Unies,Europe
Cambodge,Asie
Brandebourg-Prusse,Europe
Etats de Savoie,Europe
Danemark-Norvege,Europe
Confederation Suisse,Europe
Khanat dzoungar,Asie
Grand-duche de Toscane,Europe
Royaume du Kongo,Afrique
Lan Xang,Asie
Royaume de Ryukyu,Asie
Ordre de Saint-Jean de Jerusalem, Asie
